time_min,LituBD5_mass,LituLD2_mass,LituBL2t_mass,LituLL21_mass
1808,5.3790,1.6365,4.294864758,
1812,5.4334,1.6896,4.143571591,
1816,5.5061,1.6144,4.073987164,
1820,5.4697,1.6339,4.248123888,
1824,5.4334,1.6575,4.15200597,
1828,5.3608,1.6100,4.177660798,
1832,5.4334,1.6525,4.165536296,
1836,5.4334,1.6518,4.24197362,
1840,5.4153,1.6905,4.161670515,
1844,5.4334,1.6669,4.118443923,
1848,5.3971,1.5843,4.14919451,
1852,5.3971,1.6590,4.180648103,
1856,5.4697,1.6477,4.17361936,
1860,5.4334,1.6743,4.160089034,
1864,5.3790,1.6422,4.143747248,
1868,5.3971,1.6678,4.160791852,
1872,5.3971,1.6383,4.134258549,
1876,5.4334,1.6282,4.140232971,
1880,5.4153,1.6439,4.122836864,
1884,5.4334,1.6653,4.162549179,
1888,5.4153,1.6579,4.154993275,
1892,5.3971,1.6710,4.216494638,
1896,5.4153,1.5838,4.185392359,
1900,5.3790,1.6970,4.173795017,
1904,5.3971,1.6019,4.186271023,
1908,5.4516,1.5930,4.24250078,
1912,5.3971,1.6315,4.134609863,
1916,5.3245,1.6706,4.144274409,
1920,5.4516,1.6466,4.181878082,
1924,5.4153,1.6485,4.108779378,
1928,5.3790,1.6218,4.16746928,
1932,5.3427,1.6295,4.171510718,
1936,5.3245,1.6691,4.119322398,
1940,5.4334,1.6393,4.159913377,
1944,5.3790,1.5908,4.159561873,
1948,5.4334,1.6535,4.351621864,
1952,5.3971,1.6524,4.138651489,
1956,5.4334,1.6286,4.219657412,
1960,5.4334,1.6398,4.11756526,
1964,5.4153,1.6512,4.141814264,
1968,5.3245,1.6356,4.095951869,
1972,5.3790,1.6020,4.130568425,
1976,5.3608,1.6168,4.137070008,
1980,5.3790,1.5879,4.102804955,
1984,5.3245,1.6319,4.146558708,
1988,5.3608,1.6627,4.085408849,
1992,5.3245,1.6105,4.137772826,
1996,5.3790,1.6907,4.117740917,
2000,5.4153,1.6166,4.167820595,
2004,5.3245,1.6524,4.203139969,
2008,5.3245,1.6175,4.164130472,
2012,5.3608,1.6566,4.248123888,
2016,5.3063,1.6216,4.113699479,
2020,5.3971,1.6402,4.018460224,
2024,5.4153,1.5886,4.135664184,
2028,5.3790,1.5974,4.188204007,
2032,5.3245,1.5641,4.264114171,
2036,5.3063,1.6017,4.151478809,
2040,5.3790,1.5930,4.149018853,
2044,5.3790,1.6072,4.123715339,
2048,5.3245,1.6245,4.073460004,
2052,5.3245,1.5873,4.148315846,
2056,5.3427,1.6288,4.149370167,
2060,5.3427,1.5685,4.107549399,
2064,5.3790,1.6074,4.129162601,
2068,5.4153,1.5954,4.165184793,
2072,5.3427,1.6223,4.185743862,
2076,5.3608,1.5665,4.202612808,
2080,5.3790,1.6407,4.239864978,
2084,5.3427,1.5961,4.086814484,
2088,5.3063,1.6798,4.101926292,
2092,5.3790,1.5901,4.156750414,
2096,5.3608,1.6588,4.252868144,
2100,5.3971,1.5768,4.094897548,
2104,5.3245,1.5781,4.082773046,
2108,5.3063,1.5880,4.166590617,
2112,5.3245,1.5873,4.101750634,
2116,5.3427,1.5691,4.113347976,
2120,5.3608,1.6183,4.146558708,
2124,5.3971,1.6304,4.15921037,
2128,5.3245,1.5923,4.154466115,
2132,5.3608,1.6125,4.144625912,
2136,5.3063,1.6194,4.150600334,
2140,5.3245,1.6299,4.150951649,
2144,5.3245,1.6345,4.092086089,
2148,5.3971,1.6337,4.073811507,
2152,5.3245,1.6030,4.066255603,
2156,5.3063,1.5910,4.167644938,
2160,5.3608,1.5750,4.211574536,
2164,5.3790,1.5989,4.090680453,
2168,5.3608,1.6133,4.088923126,
2172,5.4153,1.5639,4.076095806,
2176,5.3608,1.6054,4.073635661,
2180,5.3245,1.5720,4.095776212,
2184,5.3245,1.5832,4.160967698,
2188,5.4334,1.6721,4.147613029,
2192,5.3245,1.5746,4.070297041,
2196,5.3427,1.5901,4.110360859,
2200,5.3790,1.5816,4.010552817,
2204,5.3790,1.5978,4.162549179,
2208,5.3063,1.5556,4.187501001,
2212,5.3063,1.6111,4.131095586,
2216,5.3427,1.6177,4.088923126,
2220,5.3608,1.5663,4.095776212,
2224,5.3790,1.6019,4.009147182,
2228,5.2700,1.5974,4.055009576,
2232,5.3245,1.5779,4.149546013,
2236,5.3245,1.5687,3.990872412,
2240,5.3790,1.6533,4.045696534,
2244,5.3245,1.5731,4.091207614,
2248,5.3063,1.5639,3.97874791,
2252,5.4153,1.5984,4.0586997,
2256,5.3063,1.5589,4.069945727,
2260,5.2700,1.5641,4.055185234,
2264,5.3063,1.5926,4.018108721,
2268,5.3427,1.5814,3.974882129,
2272,5.3427,1.5381,4.03761347,
2276,5.3063,1.5801,3.949754461,
2280,5.3063,1.6133,3.995792513,
2284,5.3063,1.5569,4.039546454,
2288,5.3427,1.5591,4.025488968,
2292,5.3063,1.6120,4.029354748,
2296,5.2700,1.5720,3.949578804,
2300,5.3608,1.5340,3.960648985,
2304,5.3245,1.5414,4.009674342,
2308,5.3063,1.5530,3.994738192,
2312,5.3063,1.5414,3.942550061,
2316,5.3608,1.5670,3.922342495,
2320,5.3245,1.5261,3.924626794,
2324,5.3063,1.5740,3.916192226,
2328,5.3608,1.5414,4.00088846,
2332,5.3245,1.5678,3.962230467,
2336,5.3245,1.5068,4.037437812,
2340,5.2882,1.5882,3.974530626,
2344,5.3245,1.5871,3.969610524,
2348,5.3063,1.5696,3.896336163,
2352,5.3427,1.5597,3.928492574,
2356,5.3608,1.4636,3.955904541,
2360,5.3245,1.5399,3.955201723,
2364,5.3245,1.6055,3.912150788,
2368,5.2519,1.5691,3.968029043,
2372,5.2700,1.5969,3.931655537,
2376,5.2882,1.5486,3.93815712,
2380,5.3063,1.5525,3.976990771,
2384,5.2700,1.5514,3.946943002,
2388,5.3245,1.5495,3.953444585,
2392,5.3427,1.5534,3.8931732,
2396,5.3063,1.5856,3.962054621,
2400,5.3245,1.5602,4.012134299,
